"X9010.Mai.Po.Nature.Interpreters.x" "X9020.EO.Team.x" "X9040.Jebsen.Eagles.x" "X9050.All.Stars.x" "X9060.Mai.Po.Team.x" "X9070.Kerry.Cranes.x" "X9080.Swire.Birdbrains.x" "X9090.The.Professionals.x" "X9100.Deadset.Drongos.x" "X9110.Sparrows.x" "X9120.CUMSL" "X9210.Taiwan.Mikado.Pheasant" "X9310.EEI.Korea" "X9410.Macau.Aves.Society" "X9510..Magic.Scops.Owl" "X9610.Taiwan.Tit.x" "X9010.Mai.Po.Nature.Interpreters.y" "X9020.EO.Team.y" "X9040.Jebsen.Eagles.y" "X9050.All.Stars.y" "X9060.Mai.Po.Team.y" "X9070.Kerry.Cranes.y" "X9080.Swire.Birdbrains.y" "X9090.The.Professionals.y" "X9100.Deadset.Drongos.y" "X9110.Sparrows.y" "X9130.BUBI.HKBU." "X9140.HKUST.Fire.Bird" "X9150.TAB2.CityU" "X9160.AEC.Team" "X9210..Taiwan.Mikado.Pheasant" "X9510.施華中大飛羽隊" "X9610.Taiwan.Tit.y"
"Goodson's.Leaf.Warbler" 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"Great.Barbet" 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Great.Cormorant" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Great.Crested.Grebe" 1 0 1 1 1 1 1 1 1 0 0 0 0 0 1 0 1 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0 0
"Great.Egret" 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Great.Knot" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0 1
"Greater.Coucal" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
"Greater.Necklaced.Laughingthrush" 1 1 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 1 0
"Greater.Painted-Snipe" 1 0 0 1 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 0 0
"Greater.Sand.Plover" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Greater.Scaup" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Greater.Spotted.Eagle" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0
"Green.Sandpiper" 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1
"Grey-backed.Thrush" 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 0 0 0 1 0
